id,year,jd,photo_sum,empty,raven,crow,magpie,eurjay,sibjay,geagle,wteagle,rlbuzz,goshawk,redfox,arcfox,wolverine,badger,pinemart,mustelids,lb,bird,mammal,age,snow,session,ravenm,crowm,magpiem,eurjaym,sibjaym,geaglem,wteaglem,rlbuzzm,goshawkm,redfoxm,arcfoxm,wolverinem,badgerm,pinemartm,mustelidsm,arcfox.day,redfox.day,wolverine.day,raven.day,crow.day,magpie.day,geagle.day,wteagle.day,badger.day,pinemart.day,eurjay.day,sibjay.day,lb.day,se,bird.day,mammal.day,length,samean,tamean,habitat,hosl,scover,loghosl,altitude,sdepth
1,2013,57,0,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,590,183,1.359316532,1,190,1,5.247024072,#FELT!,#FELT!
1,2013,58,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,147,3.010184495,1,190,1,5.247024072,#FELT!,#FELT!
1,2012,63,0,141,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,629,489,#FELT!,1,190,1,5.247024072,#FELT!,#FELT!
1,2013,91,0,131,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,8,5,36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,811,333,#FELT!,1,190,1,5.247024072,#FELT!,#FELT!
1,2013,59,0,140,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,603,113,3.120044287,1,190,1,5.247024072,#FELT!,#FELT!
1,2012,59,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,591,0.608996043,1,190,1,5.247024072,#FELT!,#FELT!
1,2013,67,0,141,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,12,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,655,267,#FELT!,1,190,1,5.247024072,#FELT!,#FELT!
1,2013,81,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,304,#FELT!,1,190,1,5.247024072,#FELT!,#FELT!
1,2013,77,0,141,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,720,318,#FELT!,1,190,1,5.247024072,#FELT!,#FELT!
1,2013,61,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,189,0.020321587,1,190,1,5.247024072,#FELT!,#FELT!
